"File Name","TimeStamp","Language"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:00:00-0:00:20","6"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:00:20-0:00:40","6"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:00:40-0:01:00","6"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:01:00-0:01:20","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:01:20-0:01:40","6"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:01:40-0:02:00","6"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:02:00-0:02:20","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:02:20-0:02:40","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:02:40-0:03:00","6"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:03:00-0:03:20","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:03:20-0:03:40","6"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:03:40-0:04:00","6"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:04:00-0:04:20","6"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:04:20-0:04:40","6"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:04:40-0:05:00","6"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:05:00-0:05:20","6"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:05:20-0:05:40","6"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:05:40-0:06:00","6"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:06:00-0:06:20","6"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:06:20-0:06:40","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:06:40-0:07:00","6"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:07:00-0:07:20","6"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:07:20-0:07:40","5"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:07:40-0:08:00","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:08:00-0:08:20","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:08:20-0:08:40","6"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:08:40-0:09:00","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:09:00-0:09:20","6"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:09:20-0:09:40","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:09:40-0:10:00","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:10:00-0:10:20","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:10:20-0:10:40","6"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:10:40-0:11:00","6"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:11:00-0:11:20","5"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:11:20-0:11:40","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:11:40-0:12:00","5"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:12:00-0:12:20","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:12:20-0:12:40","5"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:12:40-0:13:00","6"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:13:00-0:13:20","6"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:13:20-0:13:40","6"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:13:40-0:14:00","6"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:14:00-0:14:20","6"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:14:20-0:14:40","6"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:14:40-0:15:00","6"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:15:00-0:15:20","6"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:15:20-0:15:40","6"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:15:40-0:16:00","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:16:00-0:16:20","6"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:16:20-0:16:40","5"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:16:40-0:17:00","6"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:17:00-0:17:20","6"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:17:20-0:17:40","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:17:40-0:18:00","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:18:00-0:18:20","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:18:20-0:18:40","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:18:40-0:19:00","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:19:00-0:19:20","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:19:20-0:19:40","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:19:40-0:20:00","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:20:00-0:20:20","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:20:20-0:20:40","6"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:20:40-0:21:00","6"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:21:00-0:21:20","6"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:21:20-0:21:40","5"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:21:40-0:22:00","6"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:22:00-0:22:20","6"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:22:20-0:22:40","5"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:22:40-0:23:00","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:23:00-0:23:20","5"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:23:20-0:23:40","6"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:23:40-0:24:00","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:24:00-0:24:20","6"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:24:20-0:24:40","5"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:24:40-0:25:00","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:25:00-0:25:20","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:25:20-0:25:40","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:25:40-0:26:00","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:26:00-0:26:20","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:26:20-0:26:40","6"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:26:40-0:27:00","5"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:27:00-0:27:20","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:27:20-0:27:40","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:27:40-0:28:00","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:28:00-0:28:20","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:28:20-0:28:40","6"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:28:40-0:29:00","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:29:00-0:29:20","6"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:29:20-0:29:40","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:29:40-0:30:00","5"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:30:00-0:30:20","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:30:20-0:30:40","5"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:30:40-0:31:00","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:31:00-0:31:20","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:31:20-0:31:40","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:31:40-0:32:00","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:32:00-0:32:20","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:32:20-0:32:40","5"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:32:40-0:33:00","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:33:00-0:33:20","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:33:20-0:33:40","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:33:40-0:34:00","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:34:00-0:34:20","5"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:34:20-0:34:40","5"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:34:40-0:35:00","5"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:35:00-0:35:20","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:35:20-0:35:40","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:35:40-0:36:00","5"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:36:00-0:36:20","6"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:36:20-0:36:40","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:36:40-0:37:00","5"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:37:00-0:37:20","5"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:37:20-0:37:40","5"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:37:40-0:38:00","6"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:38:00-0:38:20","6"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:38:20-0:38:40","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:38:40-0:39:00","6"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:39:00-0:39:20","5"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:39:20-0:39:40","6"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:39:40-0:40:00","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:40:00-0:40:20","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:40:20-0:40:40","6"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:40:40-0:41:00","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:41:00-0:41:20","5"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:41:20-0:41:40","5"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:41:40-0:42:00","6"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:42:00-0:42:20","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:42:20-0:42:40","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:42:40-0:43:00","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:43:00-0:43:20","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:43:20-0:43:40","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:43:40-0:44:00","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:44:00-0:44:20","6"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:44:20-0:44:40","2"
"/Users/spoorthykanduri/Desktop/TBOP/40631_R1.asf","0:44:40-0:45:00","6"
