"File Name","TimeStamp","Language"
"/Users/spoorthykanduri/Documents/TBOP/91132_R3.asf","0:22:20-0:22:40","2"
"/Users/spoorthykanduri/Documents/TBOP/91132_R3.asf","0:22:40-0:23:00","5"
"/Users/spoorthykanduri/Documents/TBOP/91132_R3.asf","0:23:00-0:23:20","2"
"/Users/spoorthykanduri/Documents/TBOP/91132_R3.asf","0:23:20-0:23:40","2"
"/Users/spoorthykanduri/Documents/TBOP/91132_R3.asf","0:23:40-0:24:00","2"
"/Users/spoorthykanduri/Documents/TBOP/91132_R3.asf","0:24:00-0:24:20","5"
"/Users/spoorthykanduri/Documents/TBOP/91132_R3.asf","0:24:20-0:24:40","6"
"/Users/spoorthykanduri/Documents/TBOP/91132_R3.asf","0:24:40-0:25:00","6"
"/Users/spoorthykanduri/Documents/TBOP/91132_R3.asf","0:25:00-0:25:20","2"
"/Users/spoorthykanduri/Documents/TBOP/91132_R3.asf","0:25:20-0:25:40","6"
"/Users/spoorthykanduri/Documents/TBOP/91132_R3.asf","0:25:40-0:26:00","5"
"/Users/spoorthykanduri/Documents/TBOP/91132_R3.asf","0:26:00-0:26:20","2"
"/Users/spoorthykanduri/Documents/TBOP/91132_R3.asf","0:26:20-0:26:40","2"
"/Users/spoorthykanduri/Documents/TBOP/91132_R3.asf","0:26:40-0:27:00","5"
"/Users/spoorthykanduri/Documents/TBOP/91132_R3.asf","0:27:00-0:27:20","2"
"/Users/spoorthykanduri/Documents/TBOP/91132_R3.asf","0:27:20-0:27:40","2"
"/Users/spoorthykanduri/Documents/TBOP/91132_R3.asf","0:27:40-0:28:00","2"
"/Users/spoorthykanduri/Documents/TBOP/91132_R3.asf","0:28:00-0:28:20","2"
"/Users/spoorthykanduri/Documents/TBOP/91132_R3.asf","0:28:20-0:28:40","5"
"/Users/spoorthykanduri/Documents/TBOP/91132_R3.asf","0:28:40-0:29:00","2"
"/Users/spoorthykanduri/Documents/TBOP/91132_R3.asf","0:29:00-0:29:20","2"
"/Users/spoorthykanduri/Documents/TBOP/91132_R3.asf","0:29:20-0:29:40","2"
"/Users/spoorthykanduri/Documents/TBOP/91132_R3.asf","0:29:40-0:30:00","5"
"/Users/spoorthykanduri/Documents/TBOP/91132_R3.asf","0:30:00-0:30:20","2"
"/Users/spoorthykanduri/Documents/TBOP/91132_R3.asf","0:30:20-0:30:40","2"
"/Users/spoorthykanduri/Documents/TBOP/91132_R3.asf","0:30:40-0:31:00","2"
"/Users/spoorthykanduri/Documents/TBOP/91132_R3.asf","0:31:00-0:31:20","5"
"/Users/spoorthykanduri/Documents/TBOP/91132_R3.asf","0:31:20-0:31:40","5"
"/Users/spoorthykanduri/Documents/TBOP/91132_R3.asf","0:31:40-0:32:00","2"
"/Users/spoorthykanduri/Documents/TBOP/91132_R3.asf","0:32:00-0:32:20","2"
